seq,run_id,stage,change,rationale,parent,status,n_train,n_val,n_test,best_epoch,runtime_sec,p_seed,p_window_size,p_max_samples_train,p_max_samples_val,p_max_samples_test,p_d_model,p_nhead,p_num_layers,p_dim_feedforward,p_dropout,p_lr,p_epochs,p_patience,p_batch_size,p_weight_decay,p_loss,p_lr_schedule,p_event_weight,p_select_on,p_weight_avg,p_roll_jitter,p_init_ckpt,p_event_boost,val_mae_W,val_r2,val_precision,val_recall,val_f1,test_mae_W,test_rmse_W,test_r2,test_sae,test_energy_error,test_precision,test_recall,test_f1,d_mae_W,d_mae_pct,d_r2,d_sae,d_precision,d_recall,d_f1,note
1,ukdale_baseline_cpu_short,0-anchor,真实数据缩短版 baseline（10k train/6k test，10ep）,非调参轮：v2.0 协议要求先建可在当前环境 1h 完赛的锚点；复用旧 13.62W 产物以省算力并统一参照,,完赛,10000,6000,6000,9,635.6,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,13.62,137.9,0.6341,0.2145,-0.2145,0.9333,0.7119,0.8077,,,,,,,,锚点模型；后接其稠密复评行

1,ukdale_baseline_cpu_short,0-anchor,真实数据缩短版 baseline（10k train/6k test，10ep）,非调参轮：v2.0 协议要求先建可在当前环境 1h 完赛的锚点；复用旧 13.62W 产物以省算力并统一参照,,完赛,10000,6000,6000,9,635.6,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,13.62,137.9,0.6341,0.2145,-0.2145,0.9333,0.7119,0.8077,,,,,,,,锚点模型；后接其稠密复评行
2,anchor_dense_reeval,0-anchor,（复评）baseline ckpt 加密到稠密 test30000 复评,baseline 仅有 test6k：样本量不足以分辨 ±1W 级调参差，且与原稠密基线 11.96W 口径不一致——同 ckpt 加密到 30k 统一后续所有轮的评分口径,ukdale_baseline_cpu_short,复评(同ckpt加密口径),10000,6000,30000,9,,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,11.67,124.9,0.6708,0.1477,-0.1477,0.9302,0.7519,0.8316,,,,,,,,非训练轮，eval_ckpt 口径统一

2,anchor_dense_reeval,0-anchor,（复评）baseline ckpt 加密到稠密 test30000 复评,baseline 仅有 test6k：样本量不足以分辨 ±1W 级调参差，且与原稠密基线 11.96W 口径不一致——同 ckpt 加密到 30k 统一后续所有轮的评分口径,ukdale_baseline_cpu_short,复评(同ckpt加密口径),10000,6000,30000,9,,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,11.67,124.9,0.6708,0.1477,-0.1477,0.9302,0.7519,0.8316,,,,,,,,非训练轮，eval_ckpt 口径统一
3,tune_l1loss,1-phase1 单因子,loss: mse→l1,baseline 的 MAE(13.6) 与 RMSE(293) 差一个量级→大误差主导 MSE，怀疑对强事件的惩罚形状失真；huber δ=1W 在 >1W 已近线性，换纯 L1 直接优化主指标验证,anchor_dense_reeval,完赛,8000,4000,4000,5,424.5,42,128,8000,4000,4000,64,4,2,128,0.1,0.0005,12,4,128,0.0001,l1,,,,,,,,10.832,-0.0035,0,0,0,23.42,233.2,-0.0089,0.9612,-0.9612,0,0,0,,,,,,,,8k/4k/4k×12ep 小口径；L1 坍缩禁用

2,anchor_dense_reeval,0-anchor,（复评）baseline ckpt 加密到稠密 test30000 复评,baseline 仅有 test6k：样本量不足以分辨 ±1W 级调参差，且与原稠密基线 11.96W 口径不一致——同 ckpt 加密到 30k 统一后续所有轮的评分口径,ukdale_baseline_cpu_short,复评(同ckpt加密口径),10000,6000,30000,9,,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,11.67,124.9,0.6708,0.1477,-0.1477,0.9302,0.7519,0.8316,,,,,,,,非训练轮，eval_ckpt 口径统一
4,tune_win256_missing,1-phase1 单因子,window_size 128→256,128 窗仅 ~7min 上下文，烧水器的预热/沸腾/保温多阶段模式跨窗；翻倍上下文零新增参数，是性价比最高的结构假设,anchor_dense_reeval,无产物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本沙箱 seq256 线性涨内存被 OOM 杀，无产物入库（留档教训）

2,anchor_dense_reeval,0-anchor,（复评）baseline ckpt 加密到稠密 test30000 复评,baseline 仅有 test6k：样本量不足以分辨 ±1W 级调参差，且与原稠密基线 11.96W 口径不一致——同 ckpt 加密到 30k 统一后续所有轮的评分口径,ukdale_baseline_cpu_short,复评(同ckpt加密口径),10000,6000,30000,9,,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,11.67,124.9,0.6708,0.1477,-0.1477,0.9302,0.7519,0.8316,,,,,,,,非训练轮，eval_ckpt 口径统一
5,tune_d128,1-phase1 单因子,"d_model 64→128, ff 128→256",baseline train/val loss 早早收敛且残差大→疑欠拟合而非过拟合，容量（d64/ff128 对 10 类稠密输出）被怀疑为第一瓶颈,anchor_dense_reeval,完赛,8000,4000,4000,9,1337.5,42,128,8000,4000,4000,128,8,2,256,0.1,0.0005,12,4,128,0.0001,mse,,,,,,,,5.386,0.8028,0.889,0.842,0.865,11.07,119.7,0.7343,0.0857,-0.0857,0.9688,0.775,0.8611,,,,,,,,8k 小口径下过拟合被否（全长重测见 F8/F10）

2,anchor_dense_reeval,0-anchor,（复评）baseline ckpt 加密到稠密 test30000 复评,baseline 仅有 test6k：样本量不足以分辨 ±1W 级调参差，且与原稠密基线 11.96W 口径不一致——同 ckpt 加密到 30k 统一后续所有轮的评分口径,ukdale_baseline_cpu_short,复评(同ckpt加密口径),10000,6000,30000,9,,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,11.67,124.9,0.6708,0.1477,-0.1477,0.9302,0.7519,0.8316,,,,,,,,非训练轮，eval_ckpt 口径统一
6,tune_lr1e3,1-phase1 单因子,lr 5e-4→1e-3,12ep 短程里 warmup+cosine 从 2e-4 起走，退火远未完成就撞 epoch 上限→怀疑 lr 过于保守，×5 测收敛速度；若收益来自“走得更远”而非“更大步”，全长训练应改走 cosine 而非提 lr,anchor_dense_reeval,完赛,8000,4000,4000,8,559.1,42,128,8000,4000,4000,64,4,2,128,0.1,0.001,12,4,128,0.0001,mse,,,,,,,,4.854,0.7876,0.889,0.842,0.865,8.57,105.8,0.7925,0.0245,-0.0245,0.9189,0.85,0.8831,,,,,,,,8k 口径 MAE 略降但 R²/EE 恶化

2,anchor_dense_reeval,0-anchor,（复评）baseline ckpt 加密到稠密 test30000 复评,baseline 仅有 test6k：样本量不足以分辨 ±1W 级调参差，且与原稠密基线 11.96W 口径不一致——同 ckpt 加密到 30k 统一后续所有轮的评分口径,ukdale_baseline_cpu_short,复评(同ckpt加密口径),10000,6000,30000,9,,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,11.67,124.9,0.6708,0.1477,-0.1477,0.9302,0.7519,0.8316,,,,,,,,非训练轮，eval_ckpt 口径统一
7,tune_layers4,1-phase1 单因子,num_layers 2→4,seq2point 逐点预测依赖注意力跨窗特征组合，2 层疑只够局部去噪；4 层测深度是否打开表达力,anchor_dense_reeval,完赛,8000,4000,4000,6,867.1,42,128,8000,4000,4000,64,4,4,128,0.1,0.0005,12,4,128,0.0001,mse,,,,,,,,5.033,0.7541,0.882,0.789,0.833,11.58,136.8,0.6529,0.2422,-0.2422,0.9667,0.725,0.8286,,,,,,,,无收益

2,anchor_dense_reeval,0-anchor,（复评）baseline ckpt 加密到稠密 test30000 复评,baseline 仅有 test6k：样本量不足以分辨 ±1W 级调参差，且与原稠密基线 11.96W 口径不一致——同 ckpt 加密到 30k 统一后续所有轮的评分口径,ukdale_baseline_cpu_short,复评(同ckpt加密口径),10000,6000,30000,9,,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,11.67,124.9,0.6708,0.1477,-0.1477,0.9302,0.7519,0.8316,,,,,,,,非训练轮，eval_ckpt 口径统一
8,tune_drop0,1-phase1 单因子,dropout 0.1→0,数据诊断的最强先验：稠密标签含 ~29% 事件窗是“不可学的真值缺失0”（子电表丢数），dropout 随机抹特征恰好教会模型“没把握就压 0”→直接压制召回（baseline R .712 的病根假设）；反直觉预期：噪声标签下应减正则,anchor_dense_reeval,完赛,8000,4000,4000,7,237.6,42,128,8000,4000,4000,64,4,2,128,0.0,0.0005,12,4,128,0.0001,mse,,,,,,,,3.797,0.7979,0.842,0.842,0.842,6.65,96.2,0.8284,0.1451,-0.1451,0.9231,0.9,0.9114,,,,,,,,本轮唯一采纳项

8,tune_drop0,1-phase1 单因子,dropout 0.1→0,数据诊断的最强先验：稠密标签含 ~29% 事件窗是“不可学的真值缺失0”（子电表丢数），dropout 随机抹特征恰好教会模型“没把握就压 0”→直接压制召回（baseline R .712 的病根假设）；反直觉预期：噪声标签下应减正则,anchor_dense_reeval,完赛,8000,4000,4000,7,237.6,42,128,8000,4000,4000,64,4,2,128,0.0,0.0005,12,4,128,0.0001,mse,,,,,,,,3.797,0.7979,0.842,0.842,0.842,6.65,96.2,0.8284,0.1451,-0.1451,0.9231,0.9,0.9114,,,,,,,,本轮唯一采纳项
9,tune_c_d0lr1e3,2-phase2 组合,drop0 + lr1e-3,两因子单开均正收益（drop0 −39%、lr1e3 MAE −4%），按可加性假设组合作为 Phase1 冠军候选进全量前预检,tune_drop0,完赛,8000,4000,4000,10,280.4,42,128,8000,4000,4000,64,4,2,128,0.0,0.001,12,4,128,0.0001,mse,,,,,,,,3.818,0.8078,0.889,0.842,0.865,8.68,116.7,0.7471,0.1966,-0.1966,0.9697,0.8,0.8767,2.03,+30.5%,-0.0813,0.0515,0.0466,-0.1,-0.0347,8k 口径第一，后被 10k A/B 否决

